测试,#genre#
湖南卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024054803.m3u8
广东卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024060903.m3u8
深圳卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024061303.m3u8
天津卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927003.m3u8
安徽卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171403.m3u8
山东卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171603.m3u8 
山西卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025560803.m3u8
辽宁卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171303.m3u8
河北卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171503.m3u8
河南卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024059703.m3u8
江西卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024061703.m3u8
湖北卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171203.m3u8
四川卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024061403.m3u8
重庆卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024061103.m3u8
贵州卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024061603.m3u8
广西卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024060703.m3u8
云南卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025561303.m3u8
东南卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024061503.m3u8
海南卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024055603.m3u8
吉林卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025561503.m3u8 
陕西卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025561103.m3u8 
甘肃卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025561703.m3u8 
宁夏卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025608503.m3u8
青海卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025559103.m3u8
西藏卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025558003.m3u8
新疆卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927403.m3u8 
内蒙古视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2025561203.m3u8 
黑龙江卫视,http://58.222.30.156/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024061003.m3u8

央视--iTV,#genre#
CCTV01,http://28918185.xyz:35455/gaoma/cctv1.m3u8
CCTV02,http://28918185.xyz:35455/gaoma/cctv2.m3u8
CCTV03,http://28918185.xyz:35455/gaoma/cctv3.m3u8
CCTV04,http://28918185.xyz:35455/gaoma/cctv4.m3u8
CCTV05,http://28918185.xyz:35455/gaoma/cctv5.m3u8
CCTV5+,http://28918185.xyz:35455/gaoma/cctv5p.m3u8
CCTV06,http://28918185.xyz:35455/gaoma/cctv6.m3u8
CCTV07,http://28918185.xyz:35455/gaoma/cctv7.m3u8
CCTV08,http://28918185.xyz:35455/gaoma/cctv8.m3u8
